feature,importance
autism_risk_x_Low,0.107578434
behavior_risk_Low,0.08860559
autism_risk_x_Moderate,0.08142945
num_delays,0.050712314
adhd_risk_Moderate,0.041393135
adhd_risk_Low,0.041223753
safe_water_Yes,0.022442974
behaviour_concerns_Aggression,0.02214595
nutrition_linked_risk_Stunting,0.021932395
age_group_13-24,0.02061603
mode_conception_Natural,0.019598821
SE_delay,0.01944189
caregiver_engagement_Low,0.01877188
age_group_37-48,0.016516292
developmental_status_2 delays,0.016101673
total_health_risk,0.015937718
behaviour_concerns_Sleep,0.015895708
stunting,0.015438252
FM_delay,0.01427419
Composite_DQ,0.013817424
GM_delay,0.013188438
COG_delay,0.012494397
age_group_25-36,0.010933976
underweight,0.010849112
age_months,0.010099369
parent_child_interaction_score,0.009896297
attention_regulation_risk_Yes,0.009871548
GM_DQ,0.009740036
toilet_facility_Yes,0.00965769
district_Guntur,0.00948509
DQ_mean,0.009448091
home_stimulation_score,0.00938147
FM_DQ,0.009151788
district_Eluru,0.008954912
nutrition_linked_risk_nan,0.008861825
wasting,0.008711994
parent_mental_health_score,0.0083925165
consanguinity_Yes,0.008167011
COG_DQ,0.008078788
LC_delay,0.007876236
language_exposure_Inadequate,0.007849878
behaviour_concerns_Feeding,0.007758576
DQ_std,0.007491158
behaviour_concerns_nan,0.007456848
mandal_Mandal_B,0.007446887
caregiver_engagement_Medium,0.0071017155
mandal_Mandal_C,0.00679117
SE_DQ,0.0066918684
LC_DQ,0.0066525624
nutrition_score,0.0065825423
behaviour_score,0.0065483577
anemia,0.006531168
district_Visakhapatnam,0.0060153343
interaction_index,0.005894948
behaviour_risk_level_Moderate,0.005531315
nutrition_risk_Medium,0.0055057085
developmental_status_4 delays,0.0054620127
autism_risk_y_Moderate,0.005144579
age_group_49-72,0.005102722
developmental_status_No Delay,0.004977449
mode_delivery_Vaginal,0.0039810915
autism_risk_y_Low,0.0029867406
gender_M,0.0028855447
nutrition_linked_risk_Underweight,0.0028117748
play_materials_Yes,0.0016503589
nutrition_risk_Low,3.3255124e-05
developmental_status_3 delays,0.0
birth_status_Term,0.0
birth_status_Pre-term,0.0
behaviour_risk_level_Low,0.0
